Eselborn, Op der San
Wasserbillig, Marais
Bertrange, Spatzwiss
Noertzange, Am Duerf
Doncols, Um W schbur
Strassen, Riedgen   
Esch/Alzette, Dellh 
Hemstal, Am Iewescht
Bruxelles, Central  
Mondorf, Rue J. Doli
Hollerich, Gare     
Clausen, Rumm       
Cents, Carmel       
Orscholz, Rehaklinik
Ospern, W schbur    
Ehlerange, Rouseb sc
Wardin, rue de Basto
Howald, Gare        
Dudelange, Rue Jean 
Bascharage, Sicon   
Consdorf, Kraizstroo
Hierheck            
Nittel, Rochusstrass
Verlorenkost, Lavois
Heffingen, Scherfemi
Calmus, Lannekneppch
Dudelange, Skatepark
Warken, Caf  Kaell  
Lamadelaine, Wisestr
Basbellain, Eglise  
Bourglinster, Am Bri
Strassen, Hondseck  
Bourscheid, Meesch  
Grevenmacher, Jardin
Bohey, Um Weiher    
Schieren, Enner den 
Brandenbourg, Termin
Bech-Kleinmacher, Fu
Saulnes, Place      
Dudelange, Rue Jacqu
Koerich, Weidewee   
Wiltz, Brandbau     
Luxembourg, Ste Zith
P tange, Rue Gillard
Limpertsberg, Ermesi
Rumlange            
Capellen, Hireknapp 
Mondercange, Musekss
Gralingen, Am Br ill
Rumelange, Aale Kier
Diekirch, Kleck     
Eppeldorf, Faubourg 
Ingeldorf, Cit  Long
Foetz, Wacquant     
Beggen, Henri Heyman
Wecker, Eglise      
Wasserbillig, Cimeti
Wahlhausen Dickt, Op
Dudelange, Strutzbie
Insenborn, Duerf    
Howald, Jhangeli    
Mamer, Eisebunnsbr c
Merl, St.Hubert     
Daleiden, Laarberg  
Vianden, Piscine    
Bettembourg, Am Dr i
Orscholz, Sportplatz
Scheidel, Hengesch  
P tange, Rue des Rom
Cents, Tr ves       
Esch-sur-S re, An de
Bous, Kapell        
Grevenknapp, Um  nns
Mageret, Carrefour  
Kayl, Brill         
Dudelange, Rue Tatte
Steinfort, Um Quai  
Wandhaff            
Clervaux, Maison de 
Rumelange, M rtyrers
Orscholz, Cloef     
Bech, B iwerwiss    
Berg, Bei der Schmet
Bonnevoie, Lyc e Tec
Gasperich, Guillaume
Bereldange, Schoul  
Trier, Zurlaubener U
Grosbous, Kiirchepla
Esch/Alzette, Av. de
Dahlem, rue de Hivan
Watzenrath, Nord    
Everlange, Beim Enge
Angelsberg, Paafenda
Mompach, Kl ngelbaac
Allerborn, Maison 6 
Dippach, Um D ich   
Lauterborn          
Noertrange, Hekt    
Remich, rte de Luxem
Centre, Commerce    
Helfent, Automobile 
Ettelbruck, H.v.Land
Rippig, Rippigerkopp
Wiltz, Clinique     
Reckange/Mess, Wolle
Dudelange, Rue Antoi
Kayl, abri P.&Ch.   
Weimerskirch, Knupp 
Dippach, Op der Kopp
Brachtenbach, Maison
Buschdorf, Belle Vue
Saarburg, Im Fichten
Schwebsingen, Op der
Differdange, Gemeng 
H iltzerstee        
Ottange, Pl. de Mont
Esch/Alzette, Rue He
Dalheim, Poste      
Eppeldorf, Hossebier
Roodt/Syre, Bowengsb
Rumelange, Pl. de Fr
Mt.St.Martin, Foch  
Weiswampach, Om Knup
Woippy              
Breinertknupp       
Foetz, Armschlag    
Dahl, Ale Wee       
Schouweiler, Bei der
Bascharage, Th ophil
Esch/Alzette, Biblio
Syren, Klappsbr ck  
Cents, Nic Rollinger
Schuttrange, Kreizun
Ell, Beim Schreider 
Mompach, Ieweschtstr
Hagondange, Gare    
Welsdorf, rue des Ch
Proz, Altersheem    
Limpertsberg, Batty 
Herserange, Concorde
P tange, Porte Lamad
Brisenhaff          
Kirchberg, Rout Br c
Perl, Central-Hotel 
Strassen, Benelux   
Septfontaines, Op La
Trier, S dallee/Kais
Dudelange, Casino   
Moesdorf, Kiirch    
Longwy, Labro       
Obereisenbach, Bonge
Mertzig, Internat   
Aechelbur           
Noertzange, Lohrwies
Echternach, Bel Air 
Schuttrange, Kaneche
Biwer, Klosmillen   
Pfaffenthal, Vauban 
Haller, Beim Basseng
Folschette, Hueschte
Zittig, Kapell      
Aumetz, Poste       
Wallendorf, Cit     
Canach, Am Stee     
Heisdorf, Gare      
Schoos, Hiervel     
Manom, Centre Commer
Colbette            
Schifflange, Millche
Howald, Moureschanz 
Lannen, Schoul      
Jemenerhaff         
Bettborn, Gemenge Pl
Longlaville, Marcell
Bigelbach, Kiirch   
Canach, Post        
Remerschen, Nei Scho
Blumenthal/Blummenda
Boudler             
Mexy, Lorraine      
Niederwampach       
Kirchberg, R imerwee
Wellenstein, rte de 
Bettembourg, Kiirche
Livange, Am Duerf   
Allerborn, Maison 20
Esch/Alzette, Nonnew
Diekirch, Kluuster  
Limpertsberg, Avenir
Keiwelbaach         
Dommeldange, Emile M
Belval-R dange, Gare
Remich, Caves St. Ma
Niederdonven, Beim S
Belair, Service Ince
Machtum, Bei Kallek'
M llerthal, Cascades
Capellen, Gare      
Niederdonven, Beim F
Eisenborn, Am Duerf 
Dudelange, Rue Belai
Fennange, Rue des Ch
Hollerich, Salzhaff 
Senningerberg, rue d
Doncols, Beim Schneg
Haller, Schoul      
Esch/Alzette, R. de 
Gasperich, Leonardo 
Bergem, Naerzengerst
Marnach, Beim Cube  
Reisermillen        
Dommeldange, Dauschb
Esch/Alzette, Centre
Roedt               
Waldhaff            
Hermeswis           
Reckange/Mersch, Hun
Dudelange, Niddeschg
Esch/Alzette, Bd. Hu
Gasperich, Richard W
Esch/Alzette, Villa 
Burden, Beim F schwe
Hostert, Kierfecht  
Dudelange, Waldschou
P tange, Oberst D ss
Lentzweiler, Z.I.   
P tange, Athuserstro
Niedercorn, Franzous
St. Vith, Gesch ftsk
Clausen, Melusina   
Bonnevoie, Anatole F
P.A.S.-Bekassin     
Lintgen, Kr izung   
Cents, Jules Salenti
Lamadelaine, Spuerke
Lamadelaine, Maragol
Redange, Gare       
Bascharage, Bommelsc
Contern, Birewee    
Siebenaler, Bei der 
Belvaux, Milliounela
Howald, Op der Stirz
Wiltz, Wanselerstro.
Helfenterbr ck, Plet
Esch/Alzette, rue Ne
Mersch, Mierscherbie
Saulnes, All e des R
Folkendange         
RECKANGE (MERSCH), U
Obercorn, Chiers    
Herserange, Mairie  
Medernach, Iermsdr f
Trier, Konstantin Ba
Mt.St.Martin, Auchan
Keispelt, Bei P icke
Bonnevoie, Neufch te
Weiswampach, Grait  
Mondorf, Kleng Gare 
Meispelt, Kr izwee  
Michelau, Bei Schrei
Stegen, Kreiz       
Oetrange,  iter     
Echternach, rte.d'Os
Differdange, Place d
Differdange, Gew nnc
Goesdorf, Gemeng    
Pratz, Brakegaertche
Vianden, Br ck      
Dillingen D iljen   
Ettelbruck, Rond Poi
Dalheim, Gemeng     
Grundhof, Bei der Er
Mechelshaff         
L nebach, Br cke    
Messancy, rue du Ch 
Bivange, Edward Stei
Weicherdange, Kirels
Troisvierges, Police
Gostingen, Kiirch   
Athus, Douane       
Itzig, Am Kiemert   
Binsfeld, Beim Mus e
Hostert, Charlys Gar
Soleuvre, D ifferden
Frisange, Park & Rid
Oberkorn, Centre Spo
Echternach, Gare Cen
Ernzen, Manzebach   
Gostingen, Festsall 
Hamm, Rue de Bitbour
Kopstal, Br ck      
Rumelange, Intermose
Bertrange, Rue de Ma
Steinheim, An der Ue
Bridel, Schanz      
Remich, Piscine     
LUXEMBOURG (Limperts
Itzig, Dellbierg    
Peppange, Mus e     
Goesdorf, Pompje n  
Esch/Alzette, Cinqua
Tuntange, Knupp     
Saeul, Raiffeisen   
Mondercange, Dirbett
Beggen, Bastogne    
Neuhaeusgen, Ennesch
Hagen, Br ck        
Nocher, Route N 40  
Waldbillig, B lleger
Oetrange, Trengen Kn
Tuntange, Duerf     
Wiltz, Huuschtewee/P
Hosingen, Eesberwee 
Eltz                
Berbourg, Kiirch    
Dudelange, Nudelsfab
Bertrange, Fleuri   
Heffingen, Al Gemeng
Pontpierre, Paschtou
Mompach, Um Buer    
Benonchamps, Centre 
Zewen, Kantstra e   
St. Charles, Ch teau
Itzig, Am Horra     
Hollerich, Poincar  
Clervaux, Scierie   
Dudelange-Burange, G
Grevels, Zentrum    
Bonnevoie, Fraternit
T tange, Schoul     
Belair, Wandmillen  
Wahl, Kinnikshaff   
Neudorf, Kalchesbruc
Redange, Schock     
Cruchten, Haaptstroo
Kirchberg, Bricher G
Selz, An der Lengt  
Mondorf, Brill      
Redange, Lyc e Atert
Helmdange, Fautelfie
Hamm, Englebert Neve
Wellenstein, Centre 
Libramont           
Cattenom, Gendarmeri
Aubange, Mairie     
Gasperich,  mile Bia
Hoscheid, Braaken   
Greiveldange, Keller
Wahlhausen, Beim Cha
Soleuvre, Aessen    
Longwy, rue de Metz 
Basbellain, Wilmes  
Syren, Troudelermill
Leudelange, Queesche
Differdange, Cit  Br
Mondorf, Stade John 
Breidweiler (Pr itle
Saulnes, Auguste Ras
Dahl, Waassertuurm  
Beaufort, Aispist   
Ospern, Kiirch      
Wormeldange/Haut, K 
Dippach, Um Pull    
Obercorn, Rousegaert
Canach, Weber       
Weimershof, P queret
Mondercange, A.Thinn
Biwer, Haaptstrooss 
Dorscheid, Am Duerf 
Wilwerdange, Station
Capellen, Ponts & Ch
Redange/Attert, Bian
Belvaux, Um Bedding 
Echternach, Gare    
Wellen, Parking (Mos
Gasperich, Clemencea
Wellenstein, Caves c
Belair, Place de Li 
Mondorf, Bei der Dou
Contern, Kuehne & Na
Wiltz, Gare         
Sandweiler, Kiirch  
Howald, C.I.P.A.    
Derenbach, Chapelle 
Howald, Waassertuerm
Platen, Roudbach    
Dudelange, Scherrwee
Verlorenkost, Labora
Girst 2             
Sandweiler, Apdikt  
Clemency, Eecherwee 
Alsdorf (Eifel), Gas
Bettembourg, Peppeng
Arsdorf, Um Knupp   
Warken, L.T.P.S.    
Direndall           
Stafelter           
Koetschette, Rond-Po
Pontpierre, Bei der 
Clemency, F ngegerbi
Bergem, Steebr ckerw
Ottange, A Wiendelen
Olingen, Rue de Rode
Niederfeulen, Faubou
Oetrange, Prisong   
Clervaux, Parc      
Friedb sch          
Huldange, Lenglerloo
Kleinbettingen, Gare
Dudelange, Birenger 
Schieren, Uewerschie
Differdange, Douane 
Hamm, K schtewee    
Irrhausen, Wartehall
Belair, Rheinsheim  
Belval, Lyc e       
Senningerberg, Laang
Noertzange, Route de
St. Charles, Eglise 
Bissen, Z.A.C. Kleng
Limpertsberg, Bd.P. 
Bonnal, Um Bommel   
Hovelange, Halt     
Hesperange, Hollesch
Eppeldorf, Op Baach 
Beidweiler, Op der G
Schifflange, Brill  
Obercorn, Neiduerf  
Welscheid, Bei der B
Hesperange, Spr tzen
Bettembourg, 12 Garg
Belvaux, Postschoul 
Colmar, Usine Hyosun
Leudelange, Sti dswe
Hollerich, Pierre & 
Clervaux, Postes    
H ttermillen        
Pafebierg           
Kehlen, Um Knapp    
Oberanven, Rue Schet
Bitburg, ZOB        
Stegen, Eglise      
Centre, Etats-Unis  
Rollingergrund, Vill
Eich, Centre Culture
Derenbach, Beim W mp
Kaundorf, An der Hie
Greiveldange, Raiffe
Koetschette, Etienne
Diekirch, Lorentzwue
Dudelange, Rue Gaffe
Obercorn, Gare      
Echternach, Lyc e   
Niederanven, Laach  
Obercorn, Post      
Wellenstein, Scheier
Merzig, Stadthalle  
Mt.St.Martin, Cit  J
Kobenbour           
Filsdorf, W schbour 
Dippach, Op der Haar
Crauthem, Am Gruef  
Olm, Dr ischelsfeld 
Limpertsberg, N.S.Pi
Bettendorf, Elick   
Bettendorf, Schlass 
Dudelange, Rue Schor
Closdelt            
Differdange, Arbed  
Koerich, Fuurt      
Folschette, An der G
Steinfort, L tzebger
Hesperange, Itziger 
Muhlenbach, Siwemuer
Steinfort, Kolonie  
Weiler              
Mamer, C.I.P.A.     
Bonnevoie, Rotonde  
Crendal             
Kayl, Barri re      
Mensdorf, Uewen am D
Zewen, Im Siebenborn
Platen, Kinneb sch  
Esch/Alzette, LT (So
Wormeldange, Gew n  
Buschrodt           
Soleuvre, Kuss      
Colmar, Z.I. Jean Pi
Schouweiler, Kastill
Drauffelt, Op der Ga
Howald, Ronneboesch 
Larochette, Gare Rou
Kirchberg, Paul Noes
Luxembourg, Uni Camp
Stolzembourg, Kiirch
Reisdorf, Cit  J. Hi
Longwy, Merlin      
Frisange, Ennescht D
Blaschette, Rue de F
Brandenbourg, Bakes 
Dudelange, Rue Curie
Limpertsberg, Square
Sanem, Niederkuerers
Abweiler            
Maulusm hle, Gare   
Cessange, Barr s    
Bruxelles-Midi, Gare
Masseler            
Roeser, Kiirfecht   
Ettelbruck, L.T.Sale
Bous, Herdermillen  
Esch/Alzette, Rue Re
Schengen, Schoul    
Diekirch, Centre Mil
Dudelange, Jugendhau
Niedercorn, Rue de P
Hollerich, Garage AV
Bettange, Spillplaz 
Hollerich, Alphonse 
Igel, Kirche        
Steinheim, Maeleck  
Bettembourg, Krackel
Sterpenich,  glise  
Kapweiler, Lavandier
Schifflange, Gare   
Beggen, Rue du Pont 
Lamadelaine, Op Gehr
Gralingen, Schoul   
Remich, Station Viti
Limpertsberg, Parkin
Clervaux, Pl. de la 
Ehlerange, Centre   
Hayange-Esplanade   
Cents, Charles de To
Obercorn, Place Prin
Li ge-Guillemins    
Beiler, Kaesfurt    
Lamadelaine, Avenue 
Clemency, Gemeng    
Hondelange, rue du P
Garche, rte de Mondo
Nommern, Weierwiss  
Lorentzweiler, Am Du
Troisvierges, Gare  
Mondercange, Krombac
Wiltz, Aneschbaach  
Roodt/Redange, Beim 
Pintsch, An der K ie
Dudelange, Square Ma
Alzingen, R iserwee 
Dahl, Al Molkerei   
Bettel, Schmedd     
ESCH-SUR-ALZETTE, De
Gasperich, Gaasperec
Roodt/Redange, Schou
Born, Kapell        
Remich, rue de la Co
Essen               
H nsdorf, Alsbich   
Rodange, Fronti re  
Rollingen, Blannenhe
P tange, Cactus     
Differdange, Schoul 
Echternach, Centre V
Itzig, An den Espen 
Brouch/Mersch, Knepp
Bridel, Berk        
Mondorf, Av. Gr.D. C
Weiler/P tscheid, Ge
Arsdorf, An der Gaas
Weimerskirch, Duerf 
Leudelange, Beetebue
Moersdorf, Duerf    
Esch/Alzette, Maison
Sandweiler-Contern, 
Contern, Weiergewan 
Strassen, R imerwee 
Vichten, Gemeng     
Manternach, Gare    
Ettelbruck, Rue Pier
Rosport, Haaptstroos
Echternach, Centre d
Bettembourg, Al Geme
Christnach, Schoulst
Elvange/Beckerich, S
Differdange, Maartpl
Redange, Solupla    
Rumelange, Cit  St. 
Elvange/Beckerich, G
Belvaux, Gemeng/Post
Ehnen, Ieselsbreck  
Gasperich, Gerhard M
Athus, Croisement Ga
Schouweiler, Kierfec
Wemperhaart, Beim Ma
Binsfeld, Om B chel 
Rosport, Source     
Cents, Cents-Hamm   
P tange, Kierfecht  
Esch-sur-S re, SEBES
Hoesdorf, Ver insbau
Wecker, Grousswiss  
Grevenmacher, Op Flo
Hemstal, Kiirch     
Ringel              
Nagem, Centre Cultur
Limpach, Uecht      
Weimerskirch, Tommys
Esch/Alzette, Leesbe
Ettelbruck, Cit  Lop
Cents, Pommiers     
Eich, Ecole Eich    
Hettange-Grande, Gar
Redange, Noojhemerst
Erpeldange/Eschweile
Grund, Stadgronn-Br 
Moestroff, An der Ga
Consdorf, Haenricht 
Cents, Paul Albrecht
Mondercange, Mausere
Neunhausen, An der U
Baschleiden, Kiirch 
P tange, A Rousen   
Holzem, Festsall    
Grevels, Ieweschten 
Belair, Franciscaine
Folschette, Op der P
Schrassig, Bastenhaf
Wiltz, Lyc e (navett
Redange, Schleissche
Strassen, Follereau 
Niedercorn, Hondster
Mexy, Cond          
Bertrange, Richterwe
Leudelange, Gemeng  
Bif. Kalkesbach     
S lange, rue du Bois
Capellen, Police    
Noerdange, A Batzent
Gilsdorf, rue des Pr
Ahn, Op der Breck   
Gasperich, Plantin  
Lieler, Om Knupp    
Niedercorn, Cit  de 
Osweiler, Duerfplaz 
Wardin,  glise      
Kirchberg, Nationalb
Marnach, Op der Br c
Selscheid, Roudeb sc
Heisdorf, Altersheem
Wiltz, Lyc e du Nord
Oberbillig, Kirche  
Bonnevoie, Egalit   
Lasauvage, Schoul   
Larochette, Boltgest
Bonnevoie, Vann rus 
Bockholtz/Hosingen, 
Binsfeld, Beim alen 
Vianden, Schoul     
Hassel, K neftchen  
Weiler-la-Tour, Camp
Berg, Haff Biel     
Bettembourg, Fankena
Rodershausen, Kiirch
Esch/Alzette, Op der
Schieren, Rue A. Peu
Roullingen, Chalets 
Bertrange, Belle Eto
Proz, Haaptstrooss  
Hobscheid, Schoul   
M llendorf, Op der M
Belair, LTPS / Si ge
Bonnevoie, Hippodrom
Differdange, Contour
Hinkel, Haaptstrooss
Cruchten, Gare      
Sandweiler, Schiltzp
Roost, Luxlait      
Arsdorf, Mis rshaff 
Beidweiler, Am Duerf
Besch (D), Chemiewer
Prettingen          
Bissen, Um Sand     
Konz, Parkplatz     
Dudelange, Centre Sp
Weiler-la-Tour, Schl
Senningerberg, Autob
Stolzembourg, Br ck 
Nennig, Bahnhof     
Brandenbourg, Laangw
Mersch, Lohr        
Beggen, Binnchen    
Luxembourg/Centre, R
Luxembourg/Centre, P
Wincrange, Eglise   
Kirchberg, Avalon   
Schwebach, Am Duerf 
Luxembourg/Centre, M
Schlindermand., Bei 
Belair, Wampach     
Ehlerange, Denneb sc
Noerdange, Scheiwesw
Hussigny, Mines     
Weiswampach, Dr nk  
Gosseldange, rte. de
Dudelange, Pullewee 
Merzig, Saarwiesenri
Schm t              
Senningen, Duerfplaz
Munschecker         
Gasperich, Beethoven
Remerschen, Kiosk   
Esch/Alzette, W schb
Weiler-la-Tour, Hueh
Canach, Op der Br ck
Rodange, Rue Joseph 
Ettelbruck, Hall Omn
Niederstedem, Abzwei
Potaschbierg, Z.I.  
Gasperich, Ruppert  
Niedercorn, Moartpla
Roodt/Syre, Z.I. Rot
Watrange            
Vichten, B erig     
Kockelscheuer, Plate
Lamadelaine, Kierch 
Munshausen, bei der 
Differdange, Roudenh
Steinsel, Kennedy   
Dudelange, Butschebu
Altrier, Bildchen   
Yutz, Foyer AMLI    
Grevenmacher, Schoul
Gasperich, Jean Pire
Oetrange, Gare      
Sanem, Op Lohr      
Deiffelt, Carrefour 
Autelbas, rue d'Aute
Gasperich, Klensch  
Bertrange, Montereal
Niederanven, Op de W
Reisdorf, Beim Gober
Ehlerange, Monnerech
Strassen, Kiem      
Fentange, Duelemerba
Huldange, Eglise    
Schengen, Koerech   
Bascharage, Place Sc
Contern, Millewee   
Thionville, Porte Sa
Colpach-Haut, Pompje
Bitburg, Karenweg   
Redange, Gemeng     
Troine, Duerf       
Perl , Gare         
Cessange, Tubishaff 
Waldbillig, Gemeng  
Olingen, Beim lescht
Mondercange, J.Blese
Wasserbillig, Op der
Pontpierre, Op der B
Dirbach, Village    
Klingelscheuer      
Leudelange, Schaefer
Schrassig, Schwaarz 
Mettlach, Weisse Mar
Heinerscheid, Bei Mi
Wolwelange, Sp tzt  
Dudelange, Porte d'I
Dirbach, Bifurcation
Findel, Cit  A ropor
Dudelange, Rue Alexa
Nagem, Pompstatioun 
Ingeldorf, Bei der B
Perl , H iltzerwee  
Platen              
Bascharage, Brasseri
Livange, Geespelt   
Heinerscheid, Burega
Hobscheid, Laiterie 
Lultzhausen, Driicht
Beaufort, Huelewee  
Wiltz, Huuschtewee  
Mersch, Reckenerstro
Mondercange, Dokter 
Schieren, Aalen Atel
Messancy, Cit s     
Echternach, Alte Gre
Leudelange, Edeleck 
Goebelsm hle, Op der
Kockelscheuer, Patin
Dondelange, Pompstat
Schengen, S ckerbaac
Kirchberg, B.E.I.   
Kehmen, Kiirch      
Kayl, Police        
Beyren, Op der Br ck
Mettlach, Schiffsanl
Bous, Enner dem Pav 
Howald, Am Houwaldsb
Benonchamps, N  19  
Ettelbruck, Zone Ind
Stadtbredimus, Dicks
Munsbach, Kulturzent
Foetz, Rond Point   
Oetrange, Kurzebierg
Luxembourg, Gare Roc
Steinfort, Al Schmel
Eppeldorf, Haaptstro
Huldange, Maison Kna
Huncherange, Rue d'E
Bertrange-Strassen, 
Esch/Alzette, Av. du
Beaufort, Halerstroo
Winseler, Beim Burre
Itzig, Klouschter   
Bascharage, Eglise  
Bertrange, Pesch    
Saarburg, Bahnhof-Br
Neiduerf, Kapell    
Larochette, Pomjeesb
Garche, Ch naie     
Trintange, Trenteng 
Putscheid, Am Duerf 
Diekirch, Hall logis
Gr mmelscheid, Driic
Rodange, Fontaine d'
Weiler-la-Tour, Peke
Senningerberg, M nst
Longwy, Home City   
Bamb sch, Centre Spo
Wiltz, W inebeerig  
Beckerich, Kiirchepl
Herborn, Kiercheplaz
Vianden, Gemeng     
Leudelange, Gare    
Waldbillig, Michel R
Brattert            
Larochette, Goudelt 
Freckeisen          
Mt.St.Martin, H pita
Colmar, Centre      
Hollerich, Nancy    
Belvaux, Wenschel   
Perl , Kuelewee     
Kayl, Stellwierk    
Syren, Nidderbaach  
Roodt/Syre, Gare    
Strassen, Oricher-Ho
Useldange, Raiffeise
Schandel, Kreizung  
Merl, St. Gengoul   
Kirchberg, Kierch   
Barnich-Autelbas, Eg
Stadtbredimus, Schle
Mertzig, Eglise     
B derscheid, Village
Hettange Grande, Pla
Stadtbredimus, Kreiz
Cents, Dinselpuert  
Oetrange, Staefeld  
Differdange, Hansen 
Merzkirchen, Abzw.  
Rumelange, Centre Cu
Niedercorn, Hahneboe
Bascharage, Op Kratt
Longwy, Espace Saint
Lenningen, Hakenhaff
Stockem (LUX)       
Hollerich, Assurance
Beaufort, H rewiss  
Holzthum, Bei der Ki
Canach, Z.A. R cksch
Noerdange, Bei der P
Wilwerwiltz, Tomm   
Senningerberg, Marti
Hareler Poteau      
Noertzange, Gare    
Wahlhausen Dickt, An
Foetz, Am Butterbril
Gasperich, Millewee 
Aubange, Gare       
S lange, Eglise     
Bascharage, Arcades 
Athus, Gare         
KEHLEN, Katterwang  
Ellange, Martialis  
Malavillers, Mairie 
Rameldange, Beim B s
Differdange, Fonds d
Graulinster, Am Duer
H nsdorf, Eglise    
Verlorenkost, G n ra
Findel              
Ahn, Beim Quai      
Hamm, Ronndr isch   
Rodange, Schlackenmi
Bascharage, Widdems 
Ehnen, Puddel       
Belair, Kannerklinik
Brachtenbach        
Esch/Alzette, Iewesc
Soleuvre, Reitschoul
Roodt/Syre, Rothoich
Huttange (Hitten)   
Hondelange, Centre (
Cruchten, Neistrooss
Weidingen, Erpeldang
Heffingen, Soup     
Howald, 9 Mai 1944  
Dommeldange, Gare   
Beggen, Henri Dunant
Hosingen, Z.A.E.R.  
Ingeldorf, Walebroch
Bourscheid, Bei der 
Marienthal          
Huldange, Schmitt   
Moestroff, Br ck    
Michelau, Op der Sau
Belvaux,  nnert Zolw
Niederdonven, Op der
Messancy, Gare      
Reichlange, Hostelle
Linger, Schoul      
Daleiden, Zingent   
Ingeldorf, Caf  de l
Differdange, Moartpl
Oberanven, Routstrac
Boevange, Gare      
Bech, Neidierfchen  
Mersch, Nic. Welter 
Cents, Kierch       
Crauthem, Beim Schla
P tange, Cit  CFL   
Limpertsberg, Neuman
Bettembourg, Schelec
Esch/Alzette, Bd. Pi
Tandel, Veianerstroo
Biwer, Mairie       
Bech, Um Faubourg   
Koetschette, Schoul 
Cruchten, Zaneschhaf
Roost, Mold Plant   
Harzy, Centre       
Bertrange, Gaston Th
Bonnevoie, Kofferfab
Niedercorn, CFL Halt
Bech-Kleinmacher, Ce
Landres, Cit s      
Diekirch, Alexis Hec
Goetzingen, Kiirch  
Luxembourg, Square N
Mettlach, Geissert  
Boursdorf, Am Duerf 
Heischtergronn, Beim
Schifflange, Paerche
Cessange, Antoine   
Kayl, Cit  Berens   
Esch/Alzette, Op Zae
Allerborn, Kreizung 
Centre, Forum Royal 
Bettembourg, Parc Me
Esch/Alzette, Fettme
Rollingen, Fielserst
Ettelbruck, Rue de W
Goetzingen, Kreiz   
Rumelange, Gare     
Roodt/Syre, Campus s
Hostert, Am Bruch   
Cents, Arthur Knaff 
Centre, Beaumont    
Schouweiler, Hiel   
Boxhorn, Uschler    
Altwies, Buerg ssel 
Calmus, W schbur    
Limpertsberg, All e 
Mondercange, Rommelt
Nennig, Sparkasse   
Weiswampach, Hugerii
Medernach, Op der La
Helmsange, Barri r  
Ersange/Iers ng     
Sandweiler, Am Eck  
Esch/Alzette, Bd Pie
Bastogne, Renval    
Wasserbillig, Rue de
Kirchberg, Muguets  
Niederkorn, Rue de L
Erpeldange/S re, Lad
Luxembourg, Gare rou
Hollerich, Heentze P
Bastendorf, Lann    
Esch/Alzette, Hiehl 
Kaesfurt            
Koedange            
Gasperich, Hildegard
Strassen, Huorgarten
Rippweiler, Beim N s
Pommerlach (Knauf)  
Ettelbruck, Apdikt P
Rumelange, Schmelz  
Kehlen, Op der H ich
Bettembourg, Gare   
Longwy, R collets   
Echternach, Nonnenmi
P tange, Gemeng     
Selscheid, Enn scht 
Beho, rue de l'Eglis
Bissen, Steekr iz   
Helsem, Tricentenair
Perl , Op der Kopp  
Hobscheid, Ehnerpad 
Neimillen           
Canach, rue Haart   
Bertrange, W nkel   
Thionville, Foch Kio
Dudelange, Kierfecht
Esch/Alzette, E.P.M.
Athus, Centre (Grand
Dudelange, Centre Cu
Brouch/Mersch, Kloep
Elange-Veymerange, S
Hamm, Colonie       
Eschdorf, Quatre Ven
Trier, Nordallee    
Limpertsberg, Henri 
Mt.St.Martin, Eglant
Pettingen, Schlass  
Limpach, Kiirch     
Wincrange, Ecole    
Ernzen, Kapell      
Metz-Nord           
Ehlerange, Escherstr
Kirchberg, Universit
Boulaide, Camping   
Erpeldange/Bous, Rol
Dahlem, Um Eck      
Kautenbach, Op der G
Holzthum, Kiirfecht 
Rollingen, L tzebuer
Weimerskirch, Laval'
Belvaux, Belval     
Hollerich, Jean-Bapt
Esch/Alzette, Place 
Bertrange, Waassertu
Rouscht             
Belair, Oradour     
Pettingen, Barri r  
Bergem, Beim N ssert
Belvaux, Paquebierg 
Warken, Rue Bourscht
Fouhren, Halt       
Mamer, Gaaschtbierg 
St. Vith, Mein Lust 
Cloosbierg          
Belair, Glaesener-Ha
Uckange             
Paradiso, Gare      
DUDELANGE, Rue de l'
Boevange, Uerbelt   
Trier, Hochschule   
Deiffelt            
Hostert, Stade Jos B
Dudelange, Ville    
Neudorf, Carri res  
Nospelt, Beim Gliese
Oberanven, Fielsenha
Kayl, Eecherwee     
Welscheid, Jongerts 
Pittenbach, Abzw. Pi
Saulnes, Salvador Al
Imbringen, Am Duerf 
Centre, F.D. Rooseve
Centre, Cath drale  
Aspelt, Gare        
Beyren, An der Fuert
Diekirch, Dr i Brake
Niederfeulen, Atelie
Holzem, Mamerstrooss
Dudelange, Lenkeschl
Mamer, Eglantiers   
Stadtbredimus, Schou
Remich, Belv d re   
Berdorf, Bif. Heisbi
Kautenbach, Am Duerf
Audun-le-Tiche, R si
Godbrange, Bei der K
Ettelbruck, Rue du D
Leudelange, Kamelleb
Besch, Ortsmitte B41
Kirchberg, Hugo Gern
Ettelbruck, Lyc e Te
Belvaux, Grenz      
Dudelange, Mayrisch 
Zittig, Moulin      
Strassen, Les Therme
Soleuvre, Dickskopp 
Martelange, Leekoll 
Dommeldange, Uelzech
Oberanven, Gemeng   
Soleuvre, Cit  Kauff
Canach, Huehlgaass  
Rosport, Centr.Elect
Greiveldange, Gemeng
Bourglinster, Am Due
Bridel, Taverne     
Wilwerwiltz, Gare   
Hagen, 2 Steng forte
Esch/Alzette, Ennesc
Belvaux, Gemeng     
Limpertsberg, Alfred
Hesperange, Cit  Um 
Bitburg, Maximiner W
Garnich, Botterkr iz
Ehlange, Am Brill   
Bascharage, Prince H
Longlaville, Elsa Tr
Pr m, Niederpr m Sie
Hassel, Karmesch    
Bastogne, H tel de V
